Customer_ID,Attrition_Flag,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1
784725333,Existing Customer,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,18,1.571
811604133,Existing Customer,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,23,0.353
789124683,Existing Customer,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,21,0.75
771071958,Existing Customer,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,22,0.833
720466383,Existing Customer,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,23,1.3
804424383,Existing Customer,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,40,1.0
718813833,Existing Customer,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,18,1.571
806624208,Existing Customer,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.7390000000000001,38,0.9
778348233,Existing Customer,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,25,2.571
712991808,Existing Customer,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.3230000000000002,26,1.6
709029408,Existing Customer,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,24,1.6669999999999998
788658483,Existing Customer,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,28,1.0
787937058,Existing Customer,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,24,0.7140000000000001
715318008,Existing Customer,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,43,0.483
713962233,Existing Customer,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,37,1.176
785432733,Existing Customer,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,22,1.2
715190283,Existing Customer,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,28,0.556
708300483,Attrited Customer,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,16,0.143
827111283,Existing Customer,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,28,0.474
758551608,Existing Customer,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.8029999999999999,28,0.556
773146383,Existing Customer,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,33,1.2
778493808,Existing Customer,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,32,1.0
720572508,Existing Customer,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,23,0.917
712661433,Existing Customer,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,28,1.3330000000000002
789172683,Existing Customer,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,27,0.588
738406533,Existing Customer,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,27,1.7
799723908,Existing Customer,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,27,0.8
771490833,Existing Customer,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,40,0.6
720756708,Existing Customer,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,30,1.143
779471883,Attrited Customer,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,19,0.9
711525033,Existing Customer,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,38,1.923
712813458,Existing Customer,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,35,0.25
714374133,Attrited Customer,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,15,0.364
717891558,Existing Customer,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.6779999999999999,32,0.6
716632758,Existing Customer,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,40,0.6
768563658,Existing Customer,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,29,1.4169999999999998
711427458,Existing Customer,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,25,1.083
714091983,Existing Customer,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,27,1.25
787584108,Existing Customer,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,33,0.833
712030833,Attrited Customer,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,15,0.5
711481533,Existing Customer,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,28,1.154
710082708,Existing Customer,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,26,0.733
708155733,Existing Customer,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,23,0.917
788979258,Existing Customer,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.5920000000000001,32,0.6
807986133,Existing Customer,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,35,0.667
788730933,Existing Customer,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,28,0.556
711314058,Existing Customer,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,17,2.4
717975333,Existing Customer,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,15,2.0
715971108,Existing Customer,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,41,1.05
720096558,Existing Customer,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,36,0.286
719580033,Existing Customer,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,21,0.4
820582308,Existing Customer,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,35,0.522
789973308,Existing Customer,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.3119999999999998,24,1.182
712876233,Existing Customer,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,33,0.435
804595158,Existing Customer,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,23,1.875
714826758,Existing Customer,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.7509999999999999,57,0.966
779058108,Existing Customer,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,23,0.353
710790258,Existing Customer,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,35,0.4
715623483,Existing Customer,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,41,1.412
715156383,Existing Customer,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,29,0.526
711013983,Attrited Customer,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,12,0.7140000000000001
755420433,Existing Customer,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.3829999999999999,20,0.818
794543958,Existing Customer,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,27,2.0
716396358,Existing Customer,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,35,0.667
715398033,Existing Customer,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,31,0.722
711743883,Existing Customer,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,32,0.6
719720058,Existing Customer,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,14,1.8
778992108,Existing Customer,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,29,1.636
717539808,Existing Customer,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,21,1.3330000000000002
714070758,Existing Customer,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,35,2.182
714107958,Existing Customer,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,34,0.619
789140283,Existing Customer,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,29,0.933
715550508,Existing Customer,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,95.0,1.705,20,1.222
719712633,Existing Customer,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,32,0.882
772629333,Existing Customer,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,30,0.304
720336708,Existing Customer,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,42,0.68
802013583,Existing Customer,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.5760000000000001,19,0.727
711887583,Attrited Customer,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,18,0.385
714778833,Existing Customer,F,3,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,22,1.0
713843283,Existing Customer,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,26,0.733
779155158,Existing Customer,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,33,0.5
721091583,Existing Customer,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.7879999999999999,15,1.5
713572683,Existing Customer,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,34,0.789
716657058,Existing Customer,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,37,0.542
779509983,Existing Customer,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931,33585.0,0.828,21,1.1
717929133,Existing Customer,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,30,0.667
808284783,Existing Customer,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,44,1.095
708476808,Existing Customer,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960,31831.0,0.618,31,0.8240000000000001
710916408,Existing Customer,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,6580.0,0.56,32,0.391
708492558,Existing Customer,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,0.939,21,1.625
799825758,Existing Customer,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,0.588,35,0.346
718619883,Existing Customer,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,788.0,1.6740000000000002,24,3.0
711844758,Existing Customer,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,0.7909999999999999,37,1.056
714798783,Existing Customer,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,17991.0,1.826,18,1.571
826762908,Existing Customer,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,10703.0,1.024,36,1.118
771894558,Existing Customer,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,8405.0,1.873,25,0.7859999999999999
721074183,Existing Customer,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196,22963.0,0.7120000000000001,24,1.0
715259583,Existing Customer,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,3461.0,0.816,38,1.0
718414008,Existing Customer,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023,33493.0,1.004,13,0.625
719666283,Existing Customer,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,0.7659999999999999,29,0.611
714877233,Existing Customer,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,10426.0,1.584,38,1.533
785387883,Existing Customer,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.5660000000000001,47,0.382
771075258,Existing Customer,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,32989.0,0.526,42,0.355
711318033,Existing Customer,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0,2926.0,0.6759999999999999,24,0.846
783554958,Existing Customer,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0,32090.0,0.5670000000000001,30,0.364
720201033,Attrited Customer,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,0.622,23,0.353
718039683,Existing Customer,M,2,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300,12232.0,0.846,29,1.4169999999999998
710806083,Existing Customer,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,9798.0,0.7,30,0.765
714752208,Existing Customer,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,408.0,0.7879999999999999,16,0.778
822063408,Existing Customer,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,0.632,16,2.2
714490308,Existing Customer,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,17608.0,1.186,28,1.545
713356833,Existing Customer,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1193.0,1.541,34,0.7
711402333,Existing Customer,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,2438.0,0.541,32,1.0
708296883,Existing Customer,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788,10961.0,0.688,27,0.929
719154483,Existing Customer,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,5653.0,0.8390000000000001,26,0.733
717721458,Existing Customer,M,4,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0,1186,9222.0,1.689,42,1.211
711112683,Existing Customer,F,1,College,Married,Unknown,Blue,36,6,2,3,3967.0,1568,2399.0,1.236,29,1.231
715674483,Existing Customer,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,6205.0,2517,3688.0,0.939,19,0.727
789322833,Attrited Customer,F,5,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0,0,8025.0,0.654,18,0.8
789968058,Existing Customer,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0,2327,6709.0,0.649,18,0.636
709919283,Existing Customer,M,4,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0,2517,12409.0,1.996,25,1.5
718744008,Existing Customer,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,1128,5207.0,0.397,20,0.667
767712558,Attrited Customer,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,0,14979.0,0.71,10,1.0
712950783,Attrited Customer,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,0,2732.0,0.76,16,0.455
716104983,Existing Customer,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250.0,2117,133.0,1.162,31,2.875
818839983,Existing Customer,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0,1536,9380.0,1.317,34,1.0
772288758,Existing Customer,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349.0,1228,4121.0,0.728,30,1.308
712350858,Existing Customer,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0,1104,8262.0,0.5720000000000001,39,0.625
711009708,Existing Customer,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0,0,21617.0,1.047,22,0.467
712720158,Existing Customer,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860.0,1652,12208.0,1.255,32,1.909
712215258,Existing Customer,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,0,18386.0,0.868,22,0.5710000000000001
773827008,Existing Customer,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405.0,1540,865.0,0.469,29,1.231
795232683,Existing Customer,F,1,College,Married,Less than $40K,Blue,47,4,2,3,2154.0,930,1224.0,2.121,26,1.364
713786508,Existing Customer,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038.0,0,2038.0,0.7859999999999999,28,0.75
713539833,Existing Customer,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135.0,0,8135.0,1.3730000000000002,29,0.812
712454058,Existing Customer,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364.0,618,8746.0,0.5539999999999999,27,0.8
718759833,Existing Customer,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,32643.0,0,32643.0,1.3,24,2.4290000000000003
718803333,Existing Customer,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195.0,1954,1241.0,0.971,29,0.706
720253908,Existing Customer,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852.0,1024,1828.0,1.009,28,1.0
714133158,Existing Customer,F,1,College,Single,Unknown,Blue,36,2,3,3,4224.0,1305,2919.0,0.852,31,0.8240000000000001
713187033,Existing Customer,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459.0,2071,18388.0,1.248,38,2.167
714791208,Existing Customer,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482.0,2114,1368.0,0.508,24,0.263
772426383,Existing Customer,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065.0,1570,1495.0,1.077,28,1.3330000000000002
710975883,Existing Customer,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185.0,1761,424.0,0.682,30,0.429
714264408,Existing Customer,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611.0,746,865.0,0.993,29,0.706
715827858,Existing Customer,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822.0,2173,649.0,1.456,23,2.286
713741358,Attrited Customer,M,5,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975.0,2517,30458.0,0.6579999999999999,17,0.7
709531908,Existing Customer,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3,0,1438.3,0.7759999999999999,53,0.828
716493408,Existing Customer,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,3,15875.0,1719,14156.0,0.86,37,1.467
714141108,Existing Customer,F,1,High School,Married,Less than $40K,Blue,45,6,3,3,6703.0,893,5810.0,0.5670000000000001,28,0.75
708953883,Attrited Customer,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212.0,0,3212.0,0.713,20,0.25
712608783,Existing Customer,M,2,High School,Married,$80K - $120K,Silver,45,3,1,3,34516.0,1260,33256.0,0.588,34,0.789
820353558,Existing Customer,F,3,High School,Married,$40K - $60K,Blue,36,4,1,2,9797.0,1434,8363.0,0.644,34,0.478
714964758,Existing Customer,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400.0,1777,8623.0,0.7909999999999999,28,0.867
716264358,Existing Customer,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792.0,1836,24956.0,1.432,47,0.88
717296808,Existing Customer,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006.0,2517,489.0,2.053,32,1.0
712977183,Existing Customer,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482.0,1072,18410.0,0.706,22,1.444
710829108,Existing Customer,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356.0,985,2371.0,0.35,28,0.556
779562633,Existing Customer,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771.0,2248,3523.0,1.791,18,0.8
715315833,Existing Customer,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0,2107,8999.0,0.948,24,1.0
815500983,Existing Customer,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890.0,2001,889.0,1.334,36,1.0
719360583,Existing Customer,M,1,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380.0,1701,1679.0,0.747,25,1.273
709701558,Existing Customer,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331.0,1251,20080.0,0.949,50,1.083
721148358,Existing Customer,F,3,Uneducated,Single,Unknown,Blue,38,6,2,1,12860.0,0,12860.0,0.6459999999999999,27,0.286
779862408,Existing Customer,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,0,6278.0,462,5816.0,1.161,33,0.941
812627208,Existing Customer,F,0,College,Single,Less than $40K,Blue,55,5,1,3,1438.3,738,700.3,0.782,33,0.5710000000000001
711033408,Existing Customer,F,2,High School,Married,Less than $40K,Blue,36,5,1,2,9355.0,1626,7729.0,0.701,28,0.867
779956608,Existing Customer,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758.0,0,20758.0,0.688,32,0.684
780376683,Existing Customer,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,1,14612.0,1976,12636.0,1.768,24,3.0
717912483,Existing Customer,M,4,Graduate,Unknown,$80K - $120K,Blue,27,5,2,0,27259.0,0,27259.0,0.731,35,0.591
714454758,Existing Customer,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347.0,1594,4753.0,0.8959999999999999,37,0.762
780466533,Existing Customer,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592.0,1676,19916.0,1.097,52,0.529
715735233,Existing Customer,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449.0,1598,1851.0,0.971,42,0.556
720476733,Existing Customer,F,3,High School,Married,Less than $40K,Blue,34,2,1,2,6028.0,799,5229.0,0.8190000000000001,22,0.5710000000000001
715872333,Existing Customer,M,0,High School,Unknown,$120K +,Blue,36,3,2,3,18214.0,1998,16216.0,0.8290000000000001,21,1.1
712375758,Existing Customer,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,16393.0,1423,14970.0,1.642,42,0.75
708868233,Attrited Customer,M,0,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3,900,538.3,0.743,21,0.615
718030083,Existing Customer,M,1,College,Married,$60K - $80K,Blue,36,4,1,2,7871.0,1687,6184.0,1.242,22,1.444
720707283,Existing Customer,M,4,Unknown,Married,$80K - $120K,Blue,36,5,3,0,5288.0,866,4422.0,0.8690000000000001,42,0.75
771698658,Existing Customer,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5,3,11376.0,2006,9370.0,0.619,27,0.8
748326258,Existing Customer,M,3,College,Married,$80K - $120K,Blue,41,4,5,3,12302.0,1632,10670.0,1.509,41,0.519
770817783,Existing Customer,M,4,Graduate,Married,$60K - $80K,Silver,33,3,2,1,34516.0,1679,32837.0,0.623,27,0.5
779353083,Existing Customer,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,2,34516.0,1468,33048.0,0.505,32,0.684
711441333,Existing Customer,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514.0,1580,8934.0,0.504,27,0.8
